codigo;entidad;tipo
;AUTORIDAD NACIONAL DEL AGUA;
;TELECABLE CHICLIN DEL VALLE S.A.C.;superficies
;GERENCIA REGIONAL DE EDUCACIÓN;
;DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES - PIURA;superficies
;SUPERCABLE - TV NOR COMUNICACIONES S.A.C.;superficies
;BITEL - VIETTEL PERÚ S.A.C.;superficies
;CLARO - AMÉRICA MOVIL PERÚ S.A.C.;superficies
;ENTEL PERÚ S.A.;superficies
;MOVISTAR - TELEFÓNICA DEL PERÚ S.A.A.;superficies
INFBR08-048;COLEGIO PARROQUIAL SAN PEDRO CHANEL;edificaciones
INFBR08-008;I.E. INIF N 48 - SULLANA;edificaciones
;MIFIBRA - CALA SERVICIOS INTEGRALES S.A.;superficies
INFBR09-019;OFICINA DESCENTRALIZADA DE PROCESOS ELECTORALES SULLANA;edificaciones
INFBR08-002;CLINICA SANTA ROSA SULLANA S.A.C.;edificaciones
;UNIDAD DE GESTION EDUCATIVA LOCAL- SULLANA;edificaciones
INFBR08-058;EMPRESA DE TRANSPORTES FLORES HNOS S.R.L;edificaciones
;GERENCIA SUB REGIONAL LUCIANO CASTILLO CORONNA;superficies
INFBR10-031;TIENDAS MASS - COMPAÑIA HARD DISCOUNT S.A.C.;edificaciones
INFBR08-052 INFBR08-054;JUVECO DE URBANIZACIÓN LOPEZ ALBUJAR - I ETAPA;edificaciones
INFBR08-090;HOTEL LEO'S - JALS SERVICIOS GENERALES J.L.S E.I.R.L.;edificaciones
INFBR08-097;QUEEN BURGER THE ONLY S.A.C.;edificaciones
INFBR09-003;CENTRO DE ESPARCIMIENTO Y CANCHAS DEPORTIVAS EL BOSQUE;edificaciones
INFBR09-011;MISION DE IGLESIAS EVANGELICAS SEGADORAS ( M.I.E.S.);edificaciones
INFBR09-014;HOSPEDAJE PALMERAS BEACH - BRENDA ALESSANDRA LIRA QUEZADA;edificaciones
;ASOCIACION SEÑOR DE LOS MILAGROS;superficies
INFBR06-614;COMISION DE USUARIOS DEL SUBSECTOR HIDRAULICO MARGEN IZQUIERDA;ambas
;COMISION DE USUARIOS DEL SUB SECTOR HIDRAULICO CIENEGUILLO;superficies
;DIRECCION REGIONAL DE ENERGIA Y MINAS PIURA (DREM PIURA);
;ENOSA - ELECTRONOROESTE S.A.;superficies
;EPS GRAU - ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO GRAU S.A.;superficies
;QUAVII - GASES DEL PACIFICO S.A.C.;superficies
INFBR08-007;JUNTA DE USUARIOS DEL SECTOR HIDRAULICO MENOR CHIRA – CLASE A;ambas
;MUNICIPALIDAD PROVINCIAL DE SULLANA;ambas
INFBR08-100;"LOCAL ""PIZZA EL TOKE""";edificaciones
INFBR09-001;MARIA MAGDALENA AVILA PANTA;edificaciones
;URBANIZACION POPULAR AMPLIACION NUEVA ESPERANZA;edificaciones
;URBANIZACIÓN POPULAR COLA DE ALACRAN;superficies
;URBANIZACIÓN POPULAR VIRGEN DE GUADALUPE;superficies
INFBR08-093;YAH YAH BOULEVARD;edificaciones
INFBR08-010;BODE PERU - TRABAJOS MULTIPLES E.I.R.L.;edificaciones
INFBR08-056;TOURS GARCES S.A.C.;edificaciones
INFBR08-012;COMPAÑIA HARD DISCOUNT S.A.C.;edificaciones
INFBR09-026 INFBR08-038;DIRECCION SUB REGIONAL DE SALUD LUCIANO CASTILLO COLONNA;edificaciones
